no,name,yomi,comment,updatedAt
Direct1,寒星,かんせい,"難解珠型。一般的に対称形は盤端違いがあり難しい。全体的にAが特に難しい。この形を打つにあたって2の右の恒星共通は必修。研究勝負になりやすい。eの明星共通八題A、またその盤端違いfは極めて難しいゆえ狙われやすい。bが満局狙いとしては有力。dも満局になりやすいがより複雑になる。cはAが複雑。主要五珠については序盤さえ覚えればよい。",2026-07-31
Direct2,渓月,けいげつ,"かつての人気珠型だったが、現在は減少気味。主に打たれるのは白a〜白e。それ以降はハメ手的意味合いが強い。",2026-08-01
Direct3,疎星,そせい,"自由打ちの入門珠型であり、ソーソロフ8では難解。主な白4は白a〜白e。白gは五珠で間違えると即負け濃厚故必修。白eのA6は初見殺し。A7、A8は非常に難しい。白fのA8は寒星・明星共通。とっつきやすいのは白aか白bと思われる。白cのA4は金星・明星共通、A5は渓月共通。共に難解。白cの7は非常に複雑である。",2026-08-01
Direct4,花月,かげつ,"局面としては白aが唯一成立する。白aの5は黒必勝ではないかと言われている。しかし理論上の黒最善進行は超絶に難しいので、旧来よりの前例進行を推奨する。6〜8は記載よりも白有利に感じると思う。盤端が大事。7は形勢というより研究勝負である。白bは成立しないが、A7〜A9はいずれも難解。A7は初見でも黒有利に展開しやすい。A8は初見殺し。A9は超難度なので実戦的に避けるほうがよいだろう。少なくとも一つは10に換えるのが無難だ。",2026-08-01
Direct5,残月,ざんげつ,"ソーソロフ入門珠型。主な白4はa・b・cおよび渓月共通。白aではA2、A3が厄介。しかし厳密に勉強する優先度は低く、10手目あたりまでを確実に押さえておきたい。6・7は共通型合流の盤端違い。合流珠型が多く便利だ。8・9は白優勢だが、黒が一発を狙いやすく要注意。白bではA5および6が複雑。A5は初動に注意。8は精神的に白有利。白cでは9が白優勢だが逆転注意。白eは全体的に難しいが、黒の打ち回しは安定させやすい。",2026-08-01
Direct6,雨月,うげつ,"ソーソロフ入門珠型。主な白4はa,b。
白aについて、7は難解。8は精神的には白持ちだが黒の攻めが継続する。
白bについて、全体的に白主導が目立つが黒を持っても十分戦える。
6,7は初見殺し。対策なしでは容易に黒勝ちされやすい。
白cでは、A3が特に実戦では刺さりやすいか。A4は黒有利の力戦と見ておくべき。
白dにおいては、5,6が白優勢とはいえ細かい打ち回しが要求される。",2026-08-01
Direct7,金星,きんせい,"難解珠型。変化が多い。頻出は白a〜e。
白aは3が有名な満局定石がある。必修。
白bの6は正確に打てればほぼ黒勝ちだが難しい。7、8は細い攻めの継続に自信を持てるかどうか。
白cはA7の難度が高く、研究なしでは容易に崩れる。
白dは比較的とっつきやすい。白eは渓月に合流する。
白fはA7の難度が非常に高く要対策。8は嵌め手の要素があり、黒も結構勝てる。白gのAは全体的に大変なので、黒有利の力戦くらいに見るのを推奨。白hはA8が特殊で、自然に打っていくと白有利になりやすい。",2026-08-01
Direct8,松月,しょうげつ,"難解珠型。頻出は白a〜d及び雨雲月共通。
白aのAはどれも難しいが、特に注意を払うべきはA1とA2。A3は普通に打っても黒が強い。
白bのA5は非常に難解。実戦的には五題提示も白打てる。7は白良しだが初見で打ちこなすのは難しい。
白cは松月では最も無難だろう。4と6は事前に進行を研究すべし。7は一直線で満局になりがちだが一応変化もできる。
白dのA6〜A8はいずれも難解。特にA8は初見は白勝ちやすいか。白eは雨月合流。
白fは五珠さえわかれば後はなんとかなる。白gは大変なので黒有利の力戦と見ておこう。白hは色を選びたい。",2026-08-01
Direct9,丘月,きゅうげつ,"ソーソロフ入門珠型。主な白4はa,b。
白aについて。A1は強い。2が最も要研究。基礎知識がないと白有利になりがち。3は白の作戦選択の自由度が高く、実戦的には白打ちやすいと見る。C1、C2ともに安定的に白勝ちやすいが厳密に打ち切るのは大変だ。
白bでは8でどちらの盤端を選ぶかでだいぶ展開が変わる。
白cは五珠がわかればOK。",2026-08-01
Direct10,新月,しんげつ,"一本道が多く、研究が重要になる。頻出は白a〜d。
白aの3は初見では白打ちやすいと見る。4は瑞星共通。5、6を咎めるのは大変。
白bのA5は難しいが黒の負ける心配は少ない。6は満局になりやすいか。
白cのA2は初動さえ打てれば黒の制約少なめ。3は研究勝負だ。
白dの6は丘月盤端違い。7は白相当勝ちやすいと見る。8は正確に対応できないと大変。C1〜C3はいずれも逆転力を秘めた作戦だ。
白eは五珠がわかればいい。以下は特筆事項なし。",2026-08-01
Direct11,瑞星,ずいせい,"難解珠型。頻出は白a〜d及び金星共通。
白aの2は古くから打たれる難解型。
白bのA2は基本黒良しだが、厳密な打ち回しは難しい。3は黒に選択肢が多い。4は白に選択肢が多い。
白cの6は推定黒勝ち。7は黒に選択肢が多い。8は非常に難しいがどちらかといえば黒勝ちやすいと見る。
白dの7〜9はいずれも難解。個人的には7は黒持ちで8と9は白を持ちたい。10は最善以外Aに合流するので注意。
白eの7は事前研究が必須と思う。
白gのC1はかなり難しいので実戦的にはアリ。",2026-08-01
Direct12,山月,さんげつ,"正直に言ってタラグチルール下のほうが有力である。頻出は白a、b及び残月共通。
白aでは一般的にA2が自由打ちにおける定石だが、Aのほうが明らかに容易なので表記を変えた。3は初見では対応不能に近いので要研究。4はハメ手的で、正確な対応を求められる。
白bの3は瑞星共通。白cのA2は初見では厳しい。
白dは実戦的には提示で10を混ぜる方が無難だろう。
白eは五珠を打てないと負けるので最重要である。
白fは9を混ぜるのが実戦的とみる。
白gとhはタラグチ向き。",2026-08-01
Direct13,遊星,ゆうせい,"勉強の比重が高い珠型。
白a、bは白勝ちのため省略。頻出は白c〜f及び白kと白n。
白cの3と4は知識が要るが相当黒勝ちやすい。白dの7は推定黒勝ちだが難解。満局でいいなら手堅い。8は黒が安定する。
白eのA1は難解で要研究。2は推定黒勝ち。3は合流型。
白fはA3とA4が難しい。5以降は白が安定する。
白g、j、mについては五珠を正確に押さえよう。
白kの3は瑞星明星共通。白lはC1が難しく要研究。
白nはA7が奇跡のような黒勝ちで一時話題となった。A8は名月白優勢との盤端違いだが、こちらも奇跡のような黒勝ちをする。A9は難解だが安定黒有利。10はタラグチ向き。",2026-08-01
